PROCESO,AMBITO,ESTADO ELECCION,SUBNIVEL ENTIDAD,CARGO,TIPO ASOCIACION,SUJETO OBLIGADO,SIGLAS,NOMBRE COMPLETO,FECHA INICIO PROCESO,FECHA FIN PROCESO,FECHA HORA APROBACION,ESTATUS CONTABILIDAD,FECHA HORA CANCELACION,TOPE DE GASTOS,FINANCIEROS,OPERATIVOS DE LA CAMPAÑA,PRODUCCIÓN DE LOS MENSAJES PARA RADIO Y T.V.,PROPAGANDA,"PROPAGANDA EN DIARIOS, REVISTAS Y OTROS MEDIOS IMPRESOS",PROPAGANDA EN VÍA PÚBLICA,PROPAGANDA EXHIBIDA EN PÁGINAS DE INTERNET,PROPAGANDA EXHIBIDA EN SALAS DE CINE,PROPAGANDA UTILITARIA,TOTAL GASTOS
PRELO-CAM-20/21,LOCAL,CHIAPAS,Municipio 81-SILTEPEC,PRESIDENTE MUNICIPAL,C,REDES SOCIALES PROGRESISTAS,RSPPPN,NOE ROBLERO RAMIREZ,04/05/2021,02/06/2021,30/04/2021 05:22:56 p.m.,ACTIVO,,236767.74,,46.51,,,,,406.02,,,452.53
PRELO-CAM-20/21,LOCAL,CHIAPAS,Municipio 19-COMITAN DE DOMINGUEZ,PRESIDENTE MUNICIPAL,C,REDES SOCIALES PROGRESISTAS,RSPPPN,JESUS ANTONIO GUILLEN GORDILLO,04/05/2021,02/06/2021,30/04/2021 05:22:56 p.m.,ACTIVO,,3153738.65,,619.51,,,,,5408.24,,,6027.75
PRELO-CAM-20/21,LOCAL,CHIAPAS,Municipio 40-HUIXTLA,PRESIDENTE MUNICIPAL,C,REDES SOCIALES PROGRESISTAS,RSPPPN,JESUS PALOMEQUE MORENO,04/05/2021,02/06/2021,30/04/2021 05:22:56 p.m.,ACTIVO,,910677.41,,178.89,,,,,1561.68,,,1740.57
PRELO-CAM-20/21,LOCAL,CHIAPAS,Distrito 17-MOTOZINTLA,DIPUTADO LOCAL MR,C,REDES SOCIALES PROGRESISTAS,RSPPPN,JOAQUIN DAVID GONZALEZ MARROQUIN,04/05/2021,02/06/2021,30/04/2021 10:24:32 p.m.,ACTIVO,,3335658.41,,655.25,,,,,5720.21,,,6375.46
PRELO-CAM-20/21,LOCAL,CHIAPAS,Municipio 98-TOTOLAPA,PRESIDENTE MUNICIPAL,C,PARTIDO VERDE ECOLOGISTA DE MÉXICO,PVEM,JOSE ARVEY GARCIA RODRIGUEZ,04/05/2021,02/06/2021,30/04/2021 07:54:09 p.m.,ACTIVO,,123551.81,,,,2365.78,,,,,2674.79,5040.57
PRELO-CAM-20/21,LOCAL,CHIAPAS,Municipio 28-CHIAPILLA,PRESIDENTE MUNICIPAL,C,REDES SOCIALES PROGRESISTAS,RSPPPN,LORIE ROSINA MARTINEZ JUAN,04/05/2021,02/06/2021,30/04/2021 05:22:56 p.m.,ACTIVO,,109127.8,,21.43,,,,,187.13,,,208.56
PRELO-CAM-20/21,LOCAL,CHIAPAS,Municipio 106-VENUSTIANO CARRANZA,PRESIDENTE MUNICIPAL,C,REDES SOCIALES PROGRESISTAS,RSPPPN,VICTOR ALEJANDRO COUTIÑO PINTO,04/05/2021,02/06/2021,30/04/2021 05:22:56 p.m.,ACTIVO,,1195570.2,,234.85,,,,,2050.23,,,2285.08
PRELO-CAM-20/21,LOCAL,CHIAPAS,Municipio 18-COAPILLA,PRESIDENTE MUNICIPAL,C,PARTIDO VERDE ECOLOGISTA DE MÉXICO,PVEM,DAYANA VIVIAN ESPITIA ESTRADA,04/05/2021,02/06/2021,30/04/2021 07:54:09 p.m.,ACTIVO,,145303.4,,,,2782.28,,,,,3145.69,5927.97
PRELO-CAM-20/21,LOCAL,CHIAPAS,Municipio 66-PANTELHO,PRESIDENTE MUNICIPAL,C,PARTIDO CHIAPAS UNIDO,PARTIDO CHIAPAS UNIDO,LUCERO ISABEL FLORES GUILLEN,04/05/2021,02/06/2021,30/04/2021 05:48:01 p.m.,ACTIVO,,335658.72,,1000,,,,,,,,1000
PRELO-CAM-20/21,LOCAL,CHIAPAS,Municipio 63-OSUMACINTA,PRESIDENTE MUNICIPAL,C,REDES SOCIALES PROGRESISTAS,RSPPPN,PAMELA PEÑA LOPEZ,04/05/2021,02/06/2021,30/04/2021 05:22:56 p.m.,ACTIVO,,67404.51,,13.24,,,,,115.58,,,128.82
